Height_mm,Area_mm2,X_centroid_translated,Y_centroid_translated,FARO_major_angle_X,FARO_minor_angle_Y,Aligned_major_angle_X,Aligned_minor_angle_Y,Major_axis_change,Minor_axis_change,Major_axis_change_str,Minor_axis_change_str,Translation_X,Translation_Y
848,214880.53,-5.2834,8.8692,77.73,77.73,0.24,0.24,77.49,77.49,77.73→0.24 (Δ=77.49),77.73→0.24 (Δ=77.49),65.85,253.98
849,215103.55,-5.607,8.8717,77.68,77.68,0.29,0.29,77.39,77.39,77.68→0.29 (Δ=77.39),77.68→0.29 (Δ=77.39),65.85,253.98
850,215996.32,-6.1038,9.2541,77.04,77.04,0.93,0.93,76.11,76.11,77.04→0.93 (Δ=76.11),77.04→0.93 (Δ=76.11),65.85,253.98
851,216037.05,-6.6697,9.3918,78.81,78.81,0.84,0.84,77.97,77.97,78.81→0.84 (Δ=77.97),78.81→0.84 (Δ=77.97),65.85,253.98
852,215916.9,-7.2472,9.48,78.08,78.08,0.11,0.11,77.97,77.97,78.08→0.11 (Δ=77.97),78.08→0.11 (Δ=77.97),65.85,253.98
853,215942.86,-7.3907,9.6556,77.89,77.89,0.08,0.08,77.81,77.81,77.89→0.08 (Δ=77.81),77.89→0.08 (Δ=77.81),65.85,253.98
854,216779.93,-8.5594,9.9073,77.9,77.9,0.07,0.07,77.83,77.83,77.90→0.07 (Δ=77.83),77.90→0.07 (Δ=77.83),65.85,253.98
855,217839.29,-9.08,9.6981,77.6,77.6,0.37,0.37,77.23,77.23,77.60→0.37 (Δ=77.23),77.60→0.37 (Δ=77.23),65.85,253.98
856,218507.71,-9.7558,9.6622,78.32,78.32,0.36,0.36,77.97,77.97,78.32→0.36 (Δ=77.97),78.32→0.36 (Δ=77.97),65.85,253.98
857,218847.44,-9.8151,9.7563,78.55,78.55,0.58,0.58,77.97,77.97,78.55→0.58 (Δ=77.97),78.55→0.58 (Δ=77.97),65.85,253.98
858,219331.11,-9.2381,9.6339,78.38,78.38,0.42,0.42,77.97,77.97,78.38→0.42 (Δ=77.97),78.38→0.42 (Δ=77.97),65.85,253.98
859,220527.65,-8.8913,9.5583,77.82,77.82,0.15,0.15,77.68,77.68,77.82→0.15 (Δ=77.68),77.82→0.15 (Δ=77.68),65.85,253.98
860,220144.24,-8.7071,9.5369,79.29,79.29,1.32,1.32,77.97,77.97,79.29→1.32 (Δ=77.97),79.29→1.32 (Δ=77.97),65.85,253.98
861,219651.81,-8.3977,9.5269,79.94,79.94,1.97,1.97,77.97,77.97,79.94→1.97 (Δ=77.97),79.94→1.97 (Δ=77.97),65.85,253.98
862,220137.77,-8.1513,9.5736,77.98,77.98,0.01,0.01,77.97,77.97,77.98→0.01 (Δ=77.97),77.98→0.01 (Δ=77.97),65.85,253.98
863,219495.21,-7.3605,9.5175,77.6,77.6,0.37,0.37,77.22,77.22,77.60→0.37 (Δ=77.22),77.60→0.37 (Δ=77.22),65.85,253.98
864,218875.09,-6.9359,9.6593,79.2,79.2,1.23,1.23,77.97,77.97,79.20→1.23 (Δ=77.97),79.20→1.23 (Δ=77.97),65.85,253.98
865,217820.21,-5.8439,9.4869,79.32,79.32,1.36,1.36,77.97,77.97,79.32→1.36 (Δ=77.97),79.32→1.36 (Δ=77.97),65.85,253.98
866,217482.27,-5.6612,9.865,78.13,78.13,0.16,0.16,77.97,77.97,78.13→0.16 (Δ=77.97),78.13→0.16 (Δ=77.97),65.85,253.98
867,217488.78,-6.3653,9.6164,77.08,77.08,0.88,0.88,76.2,76.2,77.08→0.88 (Δ=76.20),77.08→0.88 (Δ=76.20),65.85,253.98
868,217134.35,-6.6146,9.7693,76.84,76.84,1.13,1.13,75.71,75.71,76.84→1.13 (Δ=75.71),76.84→1.13 (Δ=75.71),65.85,253.98
869,216212.75,-6.758,10.0421,77.35,77.35,0.61,0.61,76.74,76.74,77.35→0.61 (Δ=76.74),77.35→0.61 (Δ=76.74),65.85,253.98
870,217111.87,-8.0644,10.1244,78.52,78.52,0.55,0.55,77.97,77.97,78.52→0.55 (Δ=77.97),78.52→0.55 (Δ=77.97),65.85,253.98
871,217481.39,-7.8598,10.0083,77.59,77.59,0.38,0.38,77.2,77.2,77.59→0.38 (Δ=77.20),77.59→0.38 (Δ=77.20),65.85,253.98
872,217540.6,-7.3875,9.8359,78.92,78.92,0.95,0.95,77.97,77.97,78.92→0.95 (Δ=77.97),78.92→0.95 (Δ=77.97),65.85,253.98
873,218359.14,-7.9795,9.8143,77.03,77.03,0.94,0.94,76.1,76.1,77.03→0.94 (Δ=76.10),77.03→0.94 (Δ=76.10),65.85,253.98
874,218032.59,-7.5387,9.8718,78.72,78.72,0.75,0.75,77.97,77.97,78.72→0.75 (Δ=77.97),78.72→0.75 (Δ=77.97),65.85,253.98
875,218007.99,-7.487,9.9462,78.48,78.48,0.51,0.51,77.97,77.97,78.48→0.51 (Δ=77.97),78.48→0.51 (Δ=77.97),65.85,253.98
876,218627.48,-7.0593,9.8488,80.23,80.23,2.26,2.26,77.97,77.97,80.23→2.26 (Δ=77.97),80.23→2.26 (Δ=77.97),65.85,253.98
877,218138.08,-6.418,9.5759,77.0,77.0,0.96,0.96,76.04,76.04,77.00→0.96 (Δ=76.04),77.00→0.96 (Δ=76.04),65.85,253.98
878,216877.68,-6.2156,9.6246,78.68,78.68,0.71,0.71,77.97,77.97,78.68→0.71 (Δ=77.97),78.68→0.71 (Δ=77.97),65.85,253.98
879,216541.82,-5.8807,9.417,80.5,80.5,2.53,2.53,77.97,77.97,80.50→2.53 (Δ=77.97),80.50→2.53 (Δ=77.97),65.85,253.98
880,216126.41,-6.4554,9.4999,77.6,77.6,0.37,0.37,77.23,77.23,77.60→0.37 (Δ=77.23),77.60→0.37 (Δ=77.23),65.85,253.98
881,216226.55,-5.9291,9.5351,80.14,80.14,2.17,2.17,77.97,77.97,80.14→2.17 (Δ=77.97),80.14→2.17 (Δ=77.97),65.85,253.98
882,216628.79,-7.1789,9.7161,78.82,78.82,0.85,0.85,77.97,77.97,78.82→0.85 (Δ=77.97),78.82→0.85 (Δ=77.97),65.85,253.98
883,216996.94,-8.1847,9.9046,78.83,78.83,0.87,0.87,77.97,77.97,78.83→0.87 (Δ=77.97),78.83→0.87 (Δ=77.97),65.85,253.98
884,217152.89,-8.7557,10.0988,77.17,77.17,0.79,0.79,76.38,76.38,77.17→0.79 (Δ=76.38),77.17→0.79 (Δ=76.38),65.85,253.98
885,218082.73,-8.9675,9.9911,78.01,78.01,0.04,0.04,77.97,77.97,78.01→0.04 (Δ=77.97),78.01→0.04 (Δ=77.97),65.85,253.98
886,218773.79,-9.2518,10.1922,77.94,77.94,0.03,0.03,77.91,77.91,77.94→0.03 (Δ=77.91),77.94→0.03 (Δ=77.91),65.85,253.98
887,218988.85,-8.4826,9.9175,79.03,79.03,1.06,1.06,77.97,77.97,79.03→1.06 (Δ=77.97),79.03→1.06 (Δ=77.97),65.85,253.98
888,219260.3,-8.152,9.6602,76.56,76.56,1.41,1.41,75.15,75.15,76.56→1.41 (Δ=75.15),76.56→1.41 (Δ=75.15),65.85,253.98
889,219578.97,-8.1091,9.7497,78.32,78.32,0.35,0.35,77.97,77.97,78.32→0.35 (Δ=77.97),78.32→0.35 (Δ=77.97),65.85,253.98
890,219536.62,-8.1587,9.9963,78.44,78.44,0.47,0.47,77.97,77.97,78.44→0.47 (Δ=77.97),78.44→0.47 (Δ=77.97),65.85,253.98
891,219541.95,-7.6141,9.7629,79.21,79.21,1.24,1.24,77.97,77.97,79.21→1.24 (Δ=77.97),79.21→1.24 (Δ=77.97),65.85,253.98
892,219489.58,-7.5151,9.9038,77.86,77.86,0.1,0.1,77.76,77.76,77.86→0.10 (Δ=77.76),77.86→0.10 (Δ=77.76),65.85,253.98
893,218283.54,-7.2248,10.0121,78.18,78.18,0.22,0.22,77.97,77.97,78.18→0.22 (Δ=77.97),78.18→0.22 (Δ=77.97),65.85,253.98
894,218152.31,-6.3181,10.1771,76.38,76.38,1.59,1.59,74.79,74.79,76.38→1.59 (Δ=74.79),76.38→1.59 (Δ=74.79),65.85,253.98
895,217636.73,-6.6851,9.979,77.73,77.73,0.24,0.24,77.49,77.49,77.73→0.24 (Δ=77.49),77.73→0.24 (Δ=77.49),65.85,253.98
896,216172.57,-5.6633,9.8851,78.47,78.47,0.5,0.5,77.97,77.97,78.47→0.50 (Δ=77.97),78.47→0.50 (Δ=77.97),65.85,253.98
897,215596.44,-5.8643,9.8554,78.86,78.86,0.89,0.89,77.97,77.97,78.86→0.89 (Δ=77.97),78.86→0.89 (Δ=77.97),65.85,253.98
898,214870.07,-6.3842,10.0264,77.17,77.17,0.79,0.79,76.38,76.38,77.17→0.79 (Δ=76.38),77.17→0.79 (Δ=76.38),65.85,253.98
899,214940.61,-7.5127,10.0455,76.92,76.92,1.05,1.05,75.87,75.87,76.92→1.05 (Δ=75.87),76.92→1.05 (Δ=75.87),65.85,253.98
900,214710.42,-7.6226,9.8806,78.35,78.35,0.38,0.38,77.97,77.97,78.35→0.38 (Δ=77.97),78.35→0.38 (Δ=77.97),65.85,253.98
901,215620.32,-7.8798,10.1432,80.11,80.11,2.15,2.15,77.97,77.97,80.11→2.15 (Δ=77.97),80.11→2.15 (Δ=77.97),65.85,253.98
902,215859.16,-7.7853,10.0716,77.85,77.85,0.12,0.12,77.73,77.73,77.85→0.12 (Δ=77.73),77.85→0.12 (Δ=77.73),65.85,253.98
903,216050.17,-8.1267,10.1464,77.07,77.07,0.9,0.9,76.17,76.17,77.07→0.90 (Δ=76.17),77.07→0.90 (Δ=76.17),65.85,253.98
904,216671.6,-7.6345,9.9747,79.38,79.38,1.41,1.41,77.97,77.97,79.38→1.41 (Δ=77.97),79.38→1.41 (Δ=77.97),65.85,253.98
905,215868.28,-7.4807,10.1563,79.23,79.23,1.26,1.26,77.97,77.97,79.23→1.26 (Δ=77.97),79.23→1.26 (Δ=77.97),65.85,253.98
906,216623.38,-7.1042,10.0285,78.69,78.69,0.72,0.72,77.97,77.97,78.69→0.72 (Δ=77.97),78.69→0.72 (Δ=77.97),65.85,253.98
907,215977.54,-6.8522,10.0887,77.15,77.15,0.82,0.82,76.33,76.33,77.15→0.82 (Δ=76.33),77.15→0.82 (Δ=76.33),65.85,253.98
908,215785.69,-6.2834,10.1715,78.81,78.81,0.84,0.84,77.97,77.97,78.81→0.84 (Δ=77.97),78.81→0.84 (Δ=77.97),65.85,253.98
909,214279.72,-5.6917,10.089,79.52,79.52,1.56,1.56,77.97,77.97,79.52→1.56 (Δ=77.97),79.52→1.56 (Δ=77.97),65.85,253.98
910,214525.72,-5.2502,10.1328,77.75,77.75,0.22,0.22,77.53,77.53,77.75→0.22 (Δ=77.53),77.75→0.22 (Δ=77.53),65.85,253.98
911,214069.5,-5.8516,10.4616,79.48,79.48,1.51,1.51,77.97,77.97,79.48→1.51 (Δ=77.97),79.48→1.51 (Δ=77.97),65.85,253.98
912,213671.25,-6.5383,10.1827,79.03,79.03,1.07,1.07,77.97,77.97,79.03→1.07 (Δ=77.97),79.03→1.07 (Δ=77.97),65.85,253.98
913,214358.11,-7.3167,10.229,77.63,77.63,0.33,0.33,77.3,77.3,77.63→0.33 (Δ=77.30),77.63→0.33 (Δ=77.30),65.85,253.98
914,214982.67,-7.9429,10.3005,79.02,79.02,1.05,1.05,77.97,77.97,79.02→1.05 (Δ=77.97),79.02→1.05 (Δ=77.97),65.85,253.98
915,216383.41,-7.5869,10.2786,78.9,78.9,0.93,0.93,77.97,77.97,78.90→0.93 (Δ=77.97),78.90→0.93 (Δ=77.97),65.85,253.98
916,217179.45,-7.7366,10.2217,78.6,78.6,0.64,0.64,77.97,77.97,78.60→0.64 (Δ=77.97),78.60→0.64 (Δ=77.97),65.85,253.98
917,218135.6,-7.8319,10.0936,77.42,77.42,0.55,0.55,76.87,76.87,77.42→0.55 (Δ=76.87),77.42→0.55 (Δ=76.87),65.85,253.98
918,218821.9,-7.6947,10.0542,77.01,77.01,0.96,0.96,76.05,76.05,77.01→0.96 (Δ=76.05),77.01→0.96 (Δ=76.05),65.85,253.98
919,218890.82,-7.322,10.1248,77.45,77.45,0.51,0.51,76.94,76.94,77.45→0.51 (Δ=76.94),77.45→0.51 (Δ=76.94),65.85,253.98
920,218541.89,-7.7211,10.3667,78.52,78.52,0.55,0.55,77.97,77.97,78.52→0.55 (Δ=77.97),78.52→0.55 (Δ=77.97),65.85,253.98
921,218336.74,-7.1337,10.1225,78.53,78.53,0.57,0.57,77.97,77.97,78.53→0.57 (Δ=77.97),78.53→0.57 (Δ=77.97),65.85,253.98
922,218114.76,-6.8015,9.9426,77.99,77.99,0.03,0.03,77.97,77.97,77.99→0.03 (Δ=77.97),77.99→0.03 (Δ=77.97),65.85,253.98
923,217901.7,-6.8344,10.3346,78.92,78.92,0.95,0.95,77.97,77.97,78.92→0.95 (Δ=77.97),78.92→0.95 (Δ=77.97),65.85,253.98
924,216153.95,-4.8335,9.9188,77.42,77.42,0.55,0.55,76.87,76.87,77.42→0.55 (Δ=76.87),77.42→0.55 (Δ=76.87),65.85,253.98
925,215389.87,-5.1266,9.7006,80.26,80.26,2.29,2.29,77.97,77.97,80.26→2.29 (Δ=77.97),80.26→2.29 (Δ=77.97),65.85,253.98
926,214574.53,-4.6461,9.9381,79.42,79.42,1.45,1.45,77.97,77.97,79.42→1.45 (Δ=77.97),79.42→1.45 (Δ=77.97),65.85,253.98
927,214161.03,-4.5787,9.6474,77.81,77.81,0.16,0.16,77.66,77.66,77.81→0.16 (Δ=77.66),77.81→0.16 (Δ=77.66),65.85,253.98
928,213551.0,-5.3363,9.9641,79.43,79.43,1.47,1.47,77.97,77.97,79.43→1.47 (Δ=77.97),79.43→1.47 (Δ=77.97),65.85,253.98
929,213013.72,-5.5394,9.9608,78.7,78.7,0.73,0.73,77.97,77.97,78.70→0.73 (Δ=77.97),78.70→0.73 (Δ=77.97),65.85,253.98
930,213783.28,-5.3759,9.4245,77.52,77.52,0.45,0.45,77.07,77.07,77.52→0.45 (Δ=77.07),77.52→0.45 (Δ=77.07),65.85,253.98
931,213921.53,-6.1005,9.5967,78.31,78.31,0.34,0.34,77.97,77.97,78.31→0.34 (Δ=77.97),78.31→0.34 (Δ=77.97),65.85,253.98
932,213981.62,-7.1064,9.6077,77.52,77.52,0.45,0.45,77.07,77.07,77.52→0.45 (Δ=77.07),77.52→0.45 (Δ=77.07),65.85,253.98
933,214409.3,-6.3826,9.4767,77.69,77.69,0.28,0.28,77.4,77.4,77.69→0.28 (Δ=77.40),77.69→0.28 (Δ=77.40),65.85,253.98
934,215059.26,-6.8728,9.8707,80.47,80.47,2.5,2.5,77.97,77.97,80.47→2.50 (Δ=77.97),80.47→2.50 (Δ=77.97),65.85,253.98
935,215008.44,-6.6127,9.6994,79.68,79.68,1.72,1.72,77.97,77.97,79.68→1.72 (Δ=77.97),79.68→1.72 (Δ=77.97),65.85,253.98
936,215469.89,-6.5847,9.9692,77.8,77.8,0.17,0.17,77.63,77.63,77.80→0.17 (Δ=77.63),77.80→0.17 (Δ=77.63),65.85,253.98
937,214717.04,-5.7603,9.8663,78.38,78.38,0.42,0.42,77.97,77.97,78.38→0.42 (Δ=77.97),78.38→0.42 (Δ=77.97),65.85,253.98
938,214441.67,-6.1465,10.162,78.8,78.8,0.83,0.83,77.97,77.97,78.80→0.83 (Δ=77.97),78.80→0.83 (Δ=77.97),65.85,253.98
939,214700.97,-6.0828,10.1912,78.74,78.74,0.77,0.77,77.97,77.97,78.74→0.77 (Δ=77.97),78.74→0.77 (Δ=77.97),65.85,253.98
940,214032.93,-6.0805,10.0389,78.67,78.67,0.71,0.71,77.97,77.97,78.67→0.71 (Δ=77.97),78.67→0.71 (Δ=77.97),65.85,253.98
941,214242.68,-6.3674,9.9344,79.18,79.18,1.22,1.22,77.97,77.97,79.18→1.22 (Δ=77.97),79.18→1.22 (Δ=77.97),65.85,253.98
942,214957.92,-7.6454,9.9166,79.17,79.17,1.2,1.2,77.97,77.97,79.17→1.20 (Δ=77.97),79.17→1.20 (Δ=77.97),65.85,253.98
943,216216.06,-7.8684,9.9135,77.73,77.73,0.24,0.24,77.49,77.49,77.73→0.24 (Δ=77.49),77.73→0.24 (Δ=77.49),65.85,253.98
944,216753.07,-7.8407,9.8194,78.22,78.22,0.25,0.25,77.97,77.97,78.22→0.25 (Δ=77.97),78.22→0.25 (Δ=77.97),65.85,253.98
945,217372.33,-8.5511,9.9618,78.24,78.24,0.28,0.28,77.97,77.97,78.24→0.28 (Δ=77.97),78.24→0.28 (Δ=77.97),65.85,253.98
946,218334.15,-8.5719,9.9355,79.05,79.05,1.09,1.09,77.97,77.97,79.05→1.09 (Δ=77.97),79.05→1.09 (Δ=77.97),65.85,253.98
947,218554.29,-7.9691,9.6349,78.79,78.79,0.82,0.82,77.97,77.97,78.79→0.82 (Δ=77.97),78.79→0.82 (Δ=77.97),65.85,253.98
948,219085.98,-8.7121,9.9572,78.2,78.2,0.24,0.24,77.97,77.97,78.20→0.24 (Δ=77.97),78.20→0.24 (Δ=77.97),65.85,253.98
949,219136.35,-7.9202,9.6383,78.58,78.58,0.61,0.61,77.97,77.97,78.58→0.61 (Δ=77.97),78.58→0.61 (Δ=77.97),65.85,253.98
950,219603.02,-7.3154,9.8132,78.72,78.72,0.75,0.75,77.97,77.97,78.72→0.75 (Δ=77.97),78.72→0.75 (Δ=77.97),65.85,253.98
951,219151.2,-7.1108,9.6813,77.97,77.97,0.0,0.0,77.96,77.96,77.97→0.00 (Δ=77.96),77.97→0.00 (Δ=77.96),65.85,253.98
952,218882.61,-7.1738,9.6105,79.3,79.3,1.33,1.33,77.97,77.97,79.30→1.33 (Δ=77.97),79.30→1.33 (Δ=77.97),65.85,253.98
953,218357.24,-6.8768,9.7601,77.55,77.55,0.41,0.41,77.14,77.14,77.55→0.41 (Δ=77.14),77.55→0.41 (Δ=77.14),65.85,253.98
954,217812.75,-6.5048,9.7974,77.64,77.64,0.32,0.32,77.32,77.32,77.64→0.32 (Δ=77.32),77.64→0.32 (Δ=77.32),65.85,253.98
955,216500.2,-5.7748,9.6172,79.14,79.14,1.17,1.17,77.97,77.97,79.14→1.17 (Δ=77.97),79.14→1.17 (Δ=77.97),65.85,253.98
956,215967.39,-5.895,9.8397,79.42,79.42,1.45,1.45,77.97,77.97,79.42→1.45 (Δ=77.97),79.42→1.45 (Δ=77.97),65.85,253.98
957,214614.57,-5.7449,10.2336,78.18,78.18,0.21,0.21,77.97,77.97,78.18→0.21 (Δ=77.97),78.18→0.21 (Δ=77.97),65.85,253.98
958,214567.6,-5.4624,10.1755,76.85,76.85,1.12,1.12,75.73,75.73,76.85→1.12 (Δ=75.73),76.85→1.12 (Δ=75.73),65.85,253.98
959,213661.44,-6.325,10.3202,76.83,76.83,1.13,1.13,75.7,75.7,76.83→1.13 (Δ=75.70),76.83→1.13 (Δ=75.70),65.85,253.98
960,213952.18,-6.7299,10.2432,78.67,78.67,0.7,0.7,77.97,77.97,78.67→0.70 (Δ=77.97),78.67→0.70 (Δ=77.97),65.85,253.98
961,214606.61,-7.007,10.0435,80.02,80.02,2.06,2.06,77.97,77.97,80.02→2.06 (Δ=77.97),80.02→2.06 (Δ=77.97),65.85,253.98
962,215073.37,-7.4619,9.8766,78.03,78.03,0.06,0.06,77.97,77.97,78.03→0.06 (Δ=77.97),78.03→0.06 (Δ=77.97),65.85,253.98
963,215622.26,-7.0833,9.9919,79.65,79.65,1.68,1.68,77.97,77.97,79.65→1.68 (Δ=77.97),79.65→1.68 (Δ=77.97),65.85,253.98
964,216160.56,-7.132,10.0325,78.45,78.45,0.48,0.48,77.97,77.97,78.45→0.48 (Δ=77.97),78.45→0.48 (Δ=77.97),65.85,253.98
965,216658.8,-6.7025,10.3405,79.0,79.0,1.04,1.04,77.97,77.97,79.00→1.04 (Δ=77.97),79.00→1.04 (Δ=77.97),65.85,253.98
966,216411.96,-7.2754,10.3322,77.81,77.81,0.16,0.16,77.66,77.66,77.81→0.16 (Δ=77.66),77.81→0.16 (Δ=77.66),65.85,253.98
967,215489.74,-6.8266,10.2066,79.99,79.99,2.02,2.02,77.97,77.97,79.99→2.02 (Δ=77.97),79.99→2.02 (Δ=77.97),65.85,253.98
968,215241.06,-5.6246,9.9457,78.14,78.14,0.17,0.17,77.97,77.97,78.14→0.17 (Δ=77.97),78.14→0.17 (Δ=77.97),65.85,253.98
969,215318.78,-5.3943,10.3393,79.88,79.88,1.91,1.91,77.97,77.97,79.88→1.91 (Δ=77.97),79.88→1.91 (Δ=77.97),65.85,253.98
970,214362.41,-5.8583,10.3832,80.59,80.59,2.63,2.63,77.97,77.97,80.59→2.63 (Δ=77.97),80.59→2.63 (Δ=77.97),65.85,253.98
971,214440.57,-5.6881,10.2739,78.49,78.49,0.52,0.52,77.97,77.97,78.49→0.52 (Δ=77.97),78.49→0.52 (Δ=77.97),65.85,253.98
972,212516.33,-5.791,10.0748,79.53,79.53,1.56,1.56,77.97,77.97,79.53→1.56 (Δ=77.97),79.53→1.56 (Δ=77.97),65.85,253.98
973,213544.8,-7.0809,10.375,78.21,78.21,0.24,0.24,77.97,77.97,78.21→0.24 (Δ=77.97),78.21→0.24 (Δ=77.97),65.85,253.98
974,213020.05,-7.7356,10.0505,77.7,77.7,0.27,0.27,77.43,77.43,77.70→0.27 (Δ=77.43),77.70→0.27 (Δ=77.43),65.85,253.98
975,213192.83,-8.6476,10.1882,78.82,78.82,0.86,0.86,77.97,77.97,78.82→0.86 (Δ=77.97),78.82→0.86 (Δ=77.97),65.85,253.98
976,214945.16,-8.3544,9.9978,78.43,78.43,0.46,0.46,77.97,77.97,78.43→0.46 (Δ=77.97),78.43→0.46 (Δ=77.97),65.85,253.98
977,215076.49,-7.783,10.0832,77.91,77.91,0.05,0.05,77.86,77.86,77.91→0.05 (Δ=77.86),77.91→0.05 (Δ=77.86),65.85,253.98
978,216003.87,-8.4954,9.9465,78.05,78.05,0.08,0.08,77.97,77.97,78.05→0.08 (Δ=77.97),78.05→0.08 (Δ=77.97),65.85,253.98
979,216856.76,-8.0868,9.927,78.05,78.05,0.08,0.08,77.97,77.97,78.05→0.08 (Δ=77.97),78.05→0.08 (Δ=77.97),65.85,253.98
980,216559.84,-7.6073,9.7902,79.07,79.07,1.1,1.1,77.97,77.97,79.07→1.10 (Δ=77.97),79.07→1.10 (Δ=77.97),65.85,253.98
981,216506.76,-7.353,10.2209,79.07,79.07,1.1,1.1,77.97,77.97,79.07→1.10 (Δ=77.97),79.07→1.10 (Δ=77.97),65.85,253.98
982,217167.76,-6.9009,10.2402,77.56,77.56,0.41,0.41,77.16,77.16,77.56→0.41 (Δ=77.16),77.56→0.41 (Δ=77.16),65.85,253.98
983,216567.08,-5.9749,9.6985,79.75,79.75,1.78,1.78,77.97,77.97,79.75→1.78 (Δ=77.97),79.75→1.78 (Δ=77.97),65.85,253.98
984,216557.9,-6.3137,10.017,79.49,79.49,1.52,1.52,77.97,77.97,79.49→1.52 (Δ=77.97),79.49→1.52 (Δ=77.97),65.85,253.98
985,215701.53,-5.8374,9.9324,78.01,78.01,0.04,0.04,77.97,77.97,78.01→0.04 (Δ=77.97),78.01→0.04 (Δ=77.97),65.85,253.98
986,214558.92,-5.8044,10.3066,79.34,79.34,1.37,1.37,77.97,77.97,79.34→1.37 (Δ=77.97),79.34→1.37 (Δ=77.97),65.85,253.98
987,213841.61,-5.8211,10.5676,78.28,78.28,0.31,0.31,77.97,77.97,78.28→0.31 (Δ=77.97),78.28→0.31 (Δ=77.97),65.85,253.98
988,213455.7,-6.4987,9.9676,79.47,79.47,1.51,1.51,77.97,77.97,79.47→1.51 (Δ=77.97),79.47→1.51 (Δ=77.97),65.85,253.98
989,213036.85,-7.2414,10.1006,76.7,76.7,1.27,1.27,75.42,75.42,76.70→1.27 (Δ=75.42),76.70→1.27 (Δ=75.42),65.85,253.98
990,213161.53,-7.8997,10.3748,78.59,78.59,0.62,0.62,77.97,77.97,78.59→0.62 (Δ=77.97),78.59→0.62 (Δ=77.97),65.85,253.98
991,213413.27,-8.7486,10.3084,77.2,77.2,0.77,0.77,76.42,76.42,77.20→0.77 (Δ=76.42),77.20→0.77 (Δ=76.42),65.85,253.98
992,213957.96,-8.672,10.5303,79.4,79.4,1.44,1.44,77.97,77.97,79.40→1.44 (Δ=77.97),79.40→1.44 (Δ=77.97),65.85,253.98
993,213949.97,-8.5878,10.4558,78.02,78.02,0.06,0.06,77.97,77.97,78.02→0.06 (Δ=77.97),78.02→0.06 (Δ=77.97),65.85,253.98
994,214829.87,-8.2892,10.6594,79.13,79.13,1.17,1.17,77.97,77.97,79.13→1.17 (Δ=77.97),79.13→1.17 (Δ=77.97),65.85,253.98
995,214755.0,-7.946,10.4887,77.16,77.16,0.8,0.8,76.36,76.36,77.16→0.80 (Δ=76.36),77.16→0.80 (Δ=76.36),65.85,253.98
996,214241.74,-6.5243,10.3831,79.33,79.33,1.36,1.36,77.97,77.97,79.33→1.36 (Δ=77.97),79.33→1.36 (Δ=77.97),65.85,253.98
997,214655.34,-6.5503,10.5447,78.23,78.23,0.26,0.26,77.97,77.97,78.23→0.26 (Δ=77.97),78.23→0.26 (Δ=77.97),65.85,253.98
998,214074.45,-6.0426,10.2698,78.84,78.84,0.87,0.87,77.97,77.97,78.84→0.87 (Δ=77.97),78.84→0.87 (Δ=77.97),65.85,253.98
999,213750.85,-6.0683,10.1262,76.66,76.66,1.31,1.31,75.35,75.35,76.66→1.31 (Δ=75.35),76.66→1.31 (Δ=75.35),65.85,253.98
1000,213097.67,-5.8561,10.5077,78.02,78.02,0.06,0.06,77.97,77.97,78.02→0.06 (Δ=77.97),78.02→0.06 (Δ=77.97),65.85,253.98
1001,212844.28,-6.2971,10.3356,79.01,79.01,1.04,1.04,77.97,77.97,79.01→1.04 (Δ=77.97),79.01→1.04 (Δ=77.97),65.85,253.98
1002,212466.6,-6.5046,10.4026,77.09,77.09,0.88,0.88,76.22,76.22,77.09→0.88 (Δ=76.22),77.09→0.88 (Δ=76.22),65.85,253.98
1003,212843.32,-7.0529,10.7017,77.71,77.71,0.25,0.25,77.46,77.46,77.71→0.25 (Δ=77.46),77.71→0.25 (Δ=77.46),65.85,253.98
1004,211926.02,-7.4144,11.3556,78.88,78.88,0.91,0.91,77.97,77.97,78.88→0.91 (Δ=77.97),78.88→0.91 (Δ=77.97),65.85,253.98
1005,212601.67,-7.921,11.0349,78.28,78.28,0.32,0.32,77.97,77.97,78.28→0.32 (Δ=77.97),78.28→0.32 (Δ=77.97),65.85,253.98
1006,213862.58,-7.5377,11.7209,77.51,77.51,0.45,0.45,77.06,77.06,77.51→0.45 (Δ=77.06),77.51→0.45 (Δ=77.06),65.85,253.98
1007,213817.64,-7.9155,11.5549,80.0,80.0,2.03,2.03,77.97,77.97,80.00→2.03 (Δ=77.97),80.00→2.03 (Δ=77.97),65.85,253.98
1008,214977.33,-7.5564,11.4867,79.18,79.18,1.22,1.22,77.97,77.97,79.18→1.22 (Δ=77.97),79.18→1.22 (Δ=77.97),65.85,253.98
1009,215930.36,-6.7476,11.1537,78.5,78.5,0.53,0.53,77.97,77.97,78.50→0.53 (Δ=77.97),78.50→0.53 (Δ=77.97),65.85,253.98
1010,215734.92,-7.1554,11.3091,78.81,78.81,0.85,0.85,77.97,77.97,78.81→0.85 (Δ=77.97),78.81→0.85 (Δ=77.97),65.85,253.98
1011,216514.37,-7.2082,11.2702,79.4,79.4,1.43,1.43,77.97,77.97,79.40→1.43 (Δ=77.97),79.40→1.43 (Δ=77.97),65.85,253.98
1012,215753.59,-6.6714,11.2234,77.76,77.76,0.2,0.2,77.56,77.56,77.76→0.20 (Δ=77.56),77.76→0.20 (Δ=77.56),65.85,253.98
